pk,shortcode,url,type,format,carousel_count,datetime_utc,date,time,day_of_week,iso_week,month,caption_length,hashtag_count,likes,comments,views,interactions,engagement_per_view,caption
3733467715756575475,DPP8RtSD0rz,https://www.instagram.com/p/DPP8RtSD0rz/,post,carousel,4,2025-10-01T02:00:00Z,2025-10-01,12:00,Wednesday,2025-W40,2025-10,608,13,102,25,,127,,"🚨 HEADS UP ! IT’S RECRUITMENT SZN ! 🚨 MoMU wants YOU on our team this 25/26 term 🔥 Whether you’re into planning events, securing sponsors or creating publicity, there’s a place for you in MoMU 🇲🇾 This is an amazing opportunity to foster new bonds and create unforgettable memories with fellow momuians alike so don’t miss out !!  🖇️ Click the link in our BIO to sign up   🚨Applications close on October 6, 2025 at 11:59PM AEST 📆  #momuians #lifeatunimelb #unimelb #melbourneuni #melbourneuniversity #universityofmelbourne #unilife #melbuni #campuslife #studyinaustralia #studyinmelbourne #malaysian #malaysia"
3735656873824608832,DPXuCJnD-JA,https://www.instagram.com/p/DPXuCJnD-JA/,post,carousel,7,2025-10-04T02:30:00Z,2025-10-04,12:30,Saturday,2025-W40,2025-10,643,13,74,20,,94,,"T-minus 3 DAYS till applications close !! ⏳ Being part of MoMU isn’t just about the events, it’s about the friendships, growth and memories you’ll create that will stay with you forever !  Are you still on the fence? Check out what our previous officers shared about their experience in MoMU 🔥 Don’t miss out on your chance to create the same experience for yourself !!  🚨 Applications close on October 6, 2025 at 11:59pm 🚨  🖇️ Sign up through the link in our BIO  #momuians #lifeatunimelb #unimelb #melbourneuni #melbourneuniversity #universityofmelbourne #unilife #melbuni #campuslife #studyinaustralia #studyinmelbourne #malaysian #malaysia"
3736336289424711116,DPaIg8sj53M,https://www.instagram.com/p/DPaIg8sj53M/,reel,video,,2025-10-05T01:00:00Z,2025-10-05,12:00,Sunday,2025-W40,2025-10,541,13,94,14,9719,108,0.0111,"🚨 2 DAYS LEFT 🚨  MoMU’s recruitment is closing in less than 48 hours and this is YOUR SIGN to join us this year ! You’ve seen our posts, you’ve been to our events, now it’s time to be a part of it all 🔥   Don’t wait for “maybe next year”, make it happen THIS YEAR !   ⏰Applications close October 6, 2025 at 11:59pm  🖇️ Click the link in our BIO to sign up now !  #momuians #lifeatunimelb #unimelb #melbourneuni #melbourneuniversity #universityofmelbourne #unilife #melbuni #campuslife #studyinaustralia #studyinmelbourne #malaysian #malaysia"
3737061203593078686,DPctV1oDyee,https://www.instagram.com/p/DPctV1oDyee/,post,carousel,7,2025-10-06T01:00:00Z,2025-10-06,12:00,Monday,2025-W41,2025-10,542,13,110,11,,121,,"🚨 IT’S NOW OR NEVER 🚨 Officer recruitment closes TONIGHT !!   Check out our awesome teams from 2024/2025 and the memories they’ve created !! You’ve seen the posts and heard the hype, now it’s your turn to hit submit and thank yourself later 🔥🔥  ⏰ Clock’s ticking ! Application closes TONIGHT October 6, 2025 at 11:59pm  🖇️ SIGN UP NOW through the link in our BIO  #momuians #lifeatunimelb #unimelb #melbourneuni #melbourneuniversity #universityofmelbourne #unilife #melbuni #campuslife #studyinaustralia #studyinmelbourne #malaysian #malaysia"
3737313554254100400,DPdmuBfkXew,https://www.instagram.com/p/DPdmuBfkXew/,post,image,,2025-10-06T09:21:55Z,2025-10-06,20:21,Monday,2025-W41,2025-10,458,13,55,1,,56,,"Under the same moon, we celebrate the Mid-Autumn Festival together 🌕 MoMU wishes you a beautiful Mid-Autumn Festival for all Malaysians in a home away from home !  May your night be filled with mooncakes, laughter and the glow of lanterns with friends and family, near and far 🏮  #momuians #lifeatunimelb #unimelb #melbourneuni #melbourneuniversity #universityofmelbourne #unilife #melbuni #campuslife #studyinaustralia #studyinmelbourne #malaysian #malaysia"
3740923892916648557,DPqbnXZEXpt,https://www.instagram.com/p/DPqbnXZEXpt/,reel,video,,2025-10-11T08:58:10Z,2025-10-11,19:58,Saturday,2025-W41,2025-10,346,12,196,22,13886,218,0.0157,DAY 2 OF OFFICER RECRUITMENT INTERVIEWS HAS ENDED! I hope you enjoy our interview fits as much as we enjoyed your interviews !! Good luck to all our day 3 applicants tomorrow 🔥  #lifeatunimelb #unimelb #melbourneuni #melbourneuniversity #universityofmelbourne #unilife #melbuni #campuslife #studyinaustralia #studyinmelbourne #malaysian #malaysia
3747238464875103539,DQA3Yezj4Uz,https://www.instagram.com/p/DQA3Yezj4Uz/,post,image,,2025-10-20T02:00:56Z,2025-10-20,13:00,Monday,2025-W43,2025-10,299,13,91,20,,111,,"MoMU wishes everyone a bright and wonderful Deepavali !! 🪔 May your celebrations be filled with light, colour and joy 💛  #momuians #lifeatunimelb #unimelb #melbourneuni #melbourneuniversity #universityofmelbourne #unilife #melbuni #campuslife #studyinaustralia #studyinmelbourne #malaysian #malaysia"
3748174235169784594,DQEMJuzkQMS,https://www.instagram.com/p/DQEMJuzkQMS/,reel,video,,2025-10-21T09:00:00Z,2025-10-21,20:00,Tuesday,2025-W43,2025-10,216,13,126,30,11892,156,0.0131,Our Marketing Minions looking tuff 😛  #momuians #lifeatunimelb #unimelb #melbourneuni #melbourneuniversity #universityofmelbourne #unilife #melbuni #campuslife #studyinaustralia #studyinmelbourne #malaysian #malaysia
3751073263771424221,DQOfUJlj5Xd,https://www.instagram.com/p/DQOfUJlj5Xd/,reel,video,,2025-10-25T09:00:00Z,2025-10-25,20:00,Saturday,2025-W43,2025-10,150,11,240,53,9859,293,0.0297,the silence is loud guys…  #unimelb #student #relatable #university #momuians #lifeatunimelb #uni #universityofmelbourne #unilife #malaysia #melbourne
3754697564055768188,DQbXYqQkYx8,https://www.instagram.com/p/DQbXYqQkYx8/,post,image,,2025-10-30T09:00:00Z,2025-10-30,20:00,Thursday,2025-W44,2025-10,647,12,127,27,,154,,🚨PARTY PEOPLE WHERE YOU AT ‼️ MoMU x DES presents you with an END OF EXAMS PARTY at D1!!   Wrap up your semester and treat yourself and your friends at the BIGGEST POST-FINALS PARTY🔥🔥  📌 District 1 Melbourne 📆 Party with us on 21/11/2025 🕦 Entry 10:00pm - 11:30pm 💸 $20 off ! USE CODE ‘MoMU’ or ‘DES’ 🎟️ Early Bird $45 | Regular $50 🍸FREE WELCOME DRINK (arrival before 10:30pm) 🔗 Link in BIO to grab your ticket now!  GET YOUR TICKETS NOW BEFORE IT’S SOLD OUT ‼️ See you party people on the dance floor 😙  #unimelb #student #relatable #university #momuians #lifeatunimelb #uni #universityofmelbourne #unilife #studyinmelbourne #malaysia #melbourne
3754697341690425909,DQbXVbKj7I1,https://www.instagram.com/p/DQbXVbKj7I1/,reel,video,,2025-10-30T09:00:00Z,2025-10-30,20:00,Thursday,2025-W44,2025-10,174,11,176,25,8639,201,0.0233,productivity during swotvac 🔛🔝  #unimelb #student #relatable # university #momuians #lifeatunimelb #uni #universityofmelbourne #unilife #studyinmelbourne #malaysia #melbourne
3756871701272701386,DQjFuhVE6nK,https://www.instagram.com/p/DQjFuhVE6nK/,reel,video,,2025-11-02T09:00:00Z,2025-11-02,20:00,Sunday,2025-W44,2025-11,470,12,119,32,12796,151,0.0118,Spill the TEA about MoMU x DES BIGGEST END OF EXAMS PARTY with your friends 🫢‼️  Party details: 📌 District 1 Melbourne 📆 Party with us on 21/11/2025 🕦 Entry 10:00pm - 11:30pm 💸 $20 off ! USE CODE ‘MoMU’ or ‘DES’ 🎟️ Early Bird $45 | Regular $50 🍸FREE WELCOME DRINK (arrival before 10:30pm) 🔗 Link in BIO to grab your ticket now!  #unimelb #student #relatable #university #momuians #lifeatunimelb #uni #universityofmelbourne #unilife #studyinmelbourne #malaysia #melbourne
3757354870111436528,DQkzljYE37w,https://www.instagram.com/p/DQkzljYE37w/,post,image,,2025-11-03T01:00:26Z,2025-11-03,12:00,Monday,2025-W45,2025-11,340,12,76,12,,88,,"May your pens never run out, your brain never lag,  and your exam questions actually make sense 😩📖 May your Okta Verify codes always come through on time too 😆🔐 MoMU wishes you the best of luck! 💪✨  #unimelb #student #relatable #university #momuians #lifeatunimelb #uni #universityofmelbourne #unilife #studyinmelbourne #malaysia #melbourne"
3759046684950236842,DQq0QsukY6q,https://www.instagram.com/p/DQq0QsukY6q/,reel,video,,2025-11-05T09:02:00Z,2025-11-05,20:02,Wednesday,2025-W45,2025-11,516,12,72,17,7798,89,0.0114,Not even a SERIAL KILLER 😈🔪💀 can stop me from going to THE BIGGEST EOX PARTY IN TOWN 🎊💃🤑 see you guys at MoMU x DES EOX !!! 🥳  Party details: 📌 District 1 Melbourne 📆 Party with us on 21/11/2025 🕐 Entry 10:00pm - 11:30pm 💸 $20 off ! USE CODE 'MoMU' or 'DES' 🎟 Early Bird $45 | Regular $50 🍸 FREE WELCOME DRINK (arrival before 10:30pm) 🔗 Link in BIO to grab your ticket now!  #unimelb #student #relatable #university #momuians #lifeatunimelb #uni #universityofmelbourne #unilife #studyinmelbourne #malaysia #melbourne
3761948118121145024,DQ1H-G8D2LA,https://www.instagram.com/p/DQ1H-G8D2LA/,reel,video,,2025-11-09T09:06:50Z,2025-11-09,20:06,Sunday,2025-W45,2025-11,621,12,82,28,9267,110,0.0119,"Try not to get caught on camera... or worse, caught without a ticket 🎟️ End of exams are around the corner, don’t be the one hiding when the party starts ‼️🔥  📌 District 1 Melbourne 📆 Party with us on 21/11/2025 🕦 Entry 10:00pm - 11:30pm 💸 $20 off ! USE CODE ‘MoMU’ or ‘DES’ 🎟️ Early Bird $45 | Regular $50 🍸FREE WELCOME DRINK (arrival before 10:30pm) 🔗 Link in BIO to grab your ticket now!  GET YOUR TICKETS NOW BEFORE IT’S SOLD OUT ‼️ See you party people on the dance floor 😙  #unimelb #student #relatable #university #momuians #lifeatunimelb #uni #universityofmelbourne #unilife #studyinmelbourne #malaysia #melbourne"
