pk,shortcode,url,type,format,carousel_count,datetime_utc,date,time,day_of_week,iso_week,month,caption_length,hashtag_count,likes,comments,views,interactions,engagement_per_view,caption
3470403879366596390,DApWfD4yJcm,https://www.instagram.com/reel/DApWfD4yJcm/,reel,video,,2024-10-03T03:00:02Z,2024-10-03,13:00,Thursday,2024-W40,2024-10,0,0,98,2,4768,100,0.021,
3473309113390592321,DAzrDx6xfFB,https://www.instagram.com/reel/DAzrDx6xfFB/,reel,video,,2024-10-07T03:12:13Z,2024-10-07,14:12,Monday,2024-W41,2024-10,0,0,64,1,5089,65,0.0128,
3474638949980060247,DA4ZbcwTDpX,https://www.instagram.com/p/DA4ZbcwTDpX/,post,image,,2024-10-08T23:14:22Z,2024-10-09,10:14,Wednesday,2024-W41,2024-10,982,26,26,0,,26,,"Having trouble cooking up a good resume?? FEAR NOT as we’ve got you covered ‼️‼️  Join MoMu and GRADUAN MASCA on the 16th October for a Career Insights Session where YOU 🫵🏻🫵🏻 have the chance to polish your skills in cv writing 🤩🤩 Find out what you’ve missed out on and become more employable than ever before 🥰🥰   Pssstt.. FREE REFRESHMENTS ARE PROVIDED so what’s not to like ⭐️✨  📍 Venue: Forum Theatre (153), Arts West, University of Melbourne   📅 Date: 16th October, Wednesday   ⏰ Time: 6.00pm  🖇️ Sign up through the link in our bio if you don’t wanna miss out on this career building opportunity 🤍  #momuians #lifeatunimelb #unimelb #melbourneuni #melbourneuniversity #universityofmelbourne #australiauniversity #studentlife #unilife #melbuni #campuslife #studyinaustralia #studyinmelbourne #aussielife #melbournelife #australian #melbournelifestyle #melbournecbd #malaysian #malaysia #malaysiaboleh #malaysiatrending #rmit #rmituniversity #monashuniversity #victoriauniversity"
3474954670786049522,DA5hNyqyXXy,https://www.instagram.com/reel/DA5hNyqyXXy/,reel,video,,2024-10-09T09:41:38Z,2024-10-09,20:41,Wednesday,2024-W41,2024-10,0,0,135,2,8260,137,0.0166,
3476271120347885261,DA-Mip3SO7N,https://www.instagram.com/reel/DA-Mip3SO7N/,reel,video,,2024-10-11T05:17:11Z,2024-10-11,16:17,Friday,2024-W41,2024-10,0,0,118,0,6350,118,0.0186,
3478404971786494945,DBFxuR4SWPh,https://www.instagram.com/reel/DBFxuR4SWPh/,reel,video,,2024-10-14T03:56:46Z,2024-10-14,14:56,Monday,2024-W42,2024-10,0,0,58,0,5838,58,0.0099,
3480040268009949091,DBLli-Kycej,https://www.instagram.com/reel/DBLli-Kycej/,reel,video,,2024-10-16T10:05:49Z,2024-10-16,21:05,Wednesday,2024-W42,2024-10,0,0,105,0,8620,105,0.0122,
3483718686509458666,DBYp7AWyWTq,https://www.instagram.com/reel/DBYp7AWyWTq/,reel,video,,2024-10-21T11:54:10Z,2024-10-21,22:54,Monday,2024-W43,2024-10,0,0,146,6,8248,152,0.0184,
3485875477694891747,DBgUUcrP8bj,https://www.instagram.com/reel/DBgUUcrP8bj/,reel,video,,2024-10-24T11:19:20Z,2024-10-24,22:19,Thursday,2024-W43,2024-10,0,0,124,3,5177,127,0.0245,
3488557910131923465,DBp2O-jytoJ,https://www.instagram.com/p/DBp2O-jytoJ/,post,image,,2024-10-28T04:08:51Z,2024-10-28,15:08,Monday,2024-W44,2024-10,649,26,75,0,,75,,"BRRR exam season is here and it’s got us shivering in our boots 🥶🥶 but FEAR NOT we MoMUians have got this 🤩✨ Whether you have 12 weeks of lectures to cram in or double digit deadlines to catch, trust that all is well and you’ll do great‼️ GOODLUCK AND ALL THE BEST 🫶🏻🫶🏻  #momuians #lifeatunimelb #unimelb #melbourneuni #melbourneuniversity #universityofmelbourne #australiauniversity #studentlife #unilife #melbuni #campuslife #studyinaustralia #studyinmelbourne #aussielife #melbournelife #australian #melbournelifestyle #melbournecbd #malaysian #malaysia #malaysiaboleh #malaysiatrending #rmit #rmituniversity #monashuniversity #victoriauniversity"
3490680500048720690,DBxY2udyXMy,https://www.instagram.com/p/DBxY2udyXMy/,post,image,,2024-10-31T02:26:04Z,2024-10-31,13:26,Thursday,2024-W44,2024-10,551,26,49,0,,49,,"MoMuians!! Wishing you guys a very happy and blessed Deepavali! ⭐️🪔 Amidst exams and assignments, we’re hoping you have a wonderful celebration this festival of lights ❤️✨  #momuians #lifeatunimelb #unimelb #melbourneuni #melbourneuniversity #universityofmelbourne #australiauniversity #studentlife #unilife #melbuni #campuslife #studyinaustralia #studyinmelbourne #aussielife #melbournelife #australian #melbournelifestyle #melbournecbd #malaysian #malaysia #malaysiaboleh #malaysiatrending #rmit #rmituniversity #monashuniversity #victoriauniversity"
3493030541241608513,DB5vMU4S-lB,https://www.instagram.com/reel/DB5vMU4S-lB/,reel,video,,2024-11-03T08:15:10Z,2024-11-03,19:15,Sunday,2024-W44,2024-11,0,0,101,1,5949,102,0.0171,
3500260381535280402,DCTbEWWyJ0S,https://www.instagram.com/reel/DCTbEWWyJ0S/,reel,video,,2024-11-13T07:39:34Z,2024-11-13,18:39,Wednesday,2024-W46,2024-11,0,0,72,0,4157,72,0.0173,
3520674145766062554,DDb8nt0Sbna,https://www.instagram.com/reel/DDb8nt0Sbna/,reel,video,,2024-12-11T11:38:04Z,2024-12-11,22:38,Wednesday,2024-W50,2024-12,0,0,85,7,4275,92,0.0215,
3526280334575137085,DDv3UgAy_E9,https://www.instagram.com/reel/DDv3UgAy_E9/,reel,video,,2024-12-19T05:16:34Z,2024-12-19,16:16,Thursday,2024-W51,2024-12,0,0,69,3,3634,72,0.0198,
3529991779350687647,DD9DNIUPy-f,https://www.instagram.com/reel/DD9DNIUPy-f/,reel,video,,2024-12-24T08:10:33Z,2024-12-24,19:10,Tuesday,2024-W52,2024-12,0,0,102,3,3464,105,0.0303,
